DateTime,abp[mmHg],icp[mmHg]
33882.6483501015,66.47,26.81
33882.648350333,65.99,26.93
33882.6483505645,66.72,27.17
33882.6483507959,73.00,28.50
33882.6483510274,90.88,29.95
33882.6483512589,116.0,31.39
33882.6483514904,136.1,32.00
33882.6483517218,138.2,31.88
33882.6483519533,124.0,32.00
33882.6483521848,106.3,31.88
33882.6483524163,97.89,32.60
33882.6483526478,101.0,33.93
33882.6483528792,110.9,35.01
33882.6483531107,121.1,36.34
33882.6483533422,125.4,36.82
33882.6483535737,122.8,36.94
33882.6483538052,114.6,36.82
33882.6483540366,103.9,36.46
33882.6483542681,93.06,35.98
33882.6483544996,86.77,35.98
33882.6483547311,87.50,35.98
33882.6483549626,91.61,36.58
33882.648355194,96.68,36.10
33882.6483554255,98.61,35.98
33882.648355657,97.16,35.38
33882.6483558885,93.54,34.89
33882.6483561199,90.16,35.01
33882.6483563514,87.50,34.29
33882.6483565829,86.05,34.17
33882.6483568144,84.84,34.05
33882.6483570459,84.11,33.44
33882.6483572773,83.87,32.96
33882.6483575088,82.66,32.48
33882.6483577403,81.94,32.36
33882.6483579718,80.73,31.88
33882.6483582033,80.01,31.39
33882.6483584347,78.80,31.03
33882.6483586662,79.04,31.03
33882.6483588977,78.07,30.55
33882.6483591292,76.87,30.19
33882.6483593607,76.14,30.07
33882.6483595921,74.93,29.46
33882.6483598236,73.97,29.58
33882.6483600551,72.76,28.98
33882.6483602866,73.00,28.98
33882.648360518,72.27,28.50
33882.6483607495,72.27,28.26
33882.648360981,71.07,28.13
33882.6483612125,70.58,27.41
33882.648361444,69.13,27.41
33882.6483616754,67.92,26.93
33882.6483619069,66.96,26.57
33882.6483621384,65.99,26.45
33882.6483623699,66.96,27.05
33882.6483626014,73.24,28.13
33882.6483628328,90.40,29.70
33882.6483630643,115.3,31.03
33882.6483632958,134.9,31.51
33882.6483635273,137.5,31.63
33882.6483637588,123.0,31.51
33882.6483639902,105.6,31.88
33882.6483642217,97.65,32.60
33882.6483644532,100.5,33.93
33882.6483646847,110.7,35.01
33882.6483649162,120.1,35.74
33882.6483651476,124.2,36.58
33882.6483653791,120.4,36.70
33882.6483656106,111.7,36.34
33882.6483658421,100.1,35.50
33882.6483660735,90.16,35.62
33882.648366305,86.29,35.50
33882.6483665365,87.98,36.22
33882.648366768,93.06,36.22
33882.6483669995,97.41,35.62
33882.6483672309,98.37,35.62
33882.6483674624,95.96,35.13
33882.6483676939,92.57,34.77
33882.6483679254,89.43,34.65
33882.6483681569,87.26,34.29
33882.6483683883,86.29,34.17
33882.6483686198,85.32,33.69
33882.6483688513,84.36,33.20
33882.6483690828,83.15,32.72
33882.6483693143,82.42,32.24
33882.6483695457,81.21,32.12
33882.6483697772,80.49,31.63
33882.6483700087,80.49,31.27
33882.6483702402,79.28,31.15
33882.6483704716,78.32,30.67
33882.6483707031,77.35,30.55
33882.6483709346,76.38,30.19
33882.6483711661,75.17,29.70
33882.6483713976,74.45,29.70
33882.648371629,73.24,29.22
33882.6483718605,73.48,29.22
33882.648372092,72.52,28.74
33882.6483723235,72.52,28.26
33882.648372555,71.55,28.26
33882.6483727864,71.07,27.65
33882.6483730179,70.34,27.41
33882.6483732494,69.13,27.17
33882.6483734809,67.44,26.69
33882.6483737124,66.23,26.08
33882.6483739438,65.27,26.20
33882.6483741753,66.23,26.57
33882.6483744068,72.52,27.65
33882.6483746383,89.19,29.22
33882.6483748698,114.6,30.55
33882.6483751012,135.3,31.15
33882.6483753327,137.8,31.51
33882.6483755642,124.7,31.63
33882.6483757957,107.1,31.51
33882.6483760271,97.41,32.12
33882.6483762586,99.34,33.44
33882.6483764901,109.7,34.65
33882.6483767216,120.1,35.38
33882.6483769531,124.7,35.98
33882.6483771845,122.1,36.58
33882.648377416,113.8,36.22
33882.6483776475,102.7,35.62
33882.648377879,92.33,35.38
33882.6483781105,86.29,35.50
33882.6483783419,87.26,35.62
33882.6483785734,92.09,36.10
33882.6483788049,96.20,35.25
33882.6483790364,97.89,35.38
33882.6483792678,96.44,35.01
33882.6483794993,93.06,34.53
33882.6483797308,89.91,34.53
33882.6483799623,87.01,34.29
33882.6483801938,86.05,33.81
33882.6483804252,84.60,33.32
33882.6483806567,83.87,32.96
33882.6483808882,82.91,32.48
33882.6483811197,81.94,32.00
33882.6483813512,80.97,32.00
33882.6483815826,80.01,31.39
33882.6483818141,80.01,31.27
33882.6483820456,78.56,30.79
33882.6483822771,77.83,30.67
33882.6483825086,76.62,30.19
33882.64838274,75.90,29.82
33882.6483829715,75.17,29.82
33882.648383203,73.97,29.22
33882.6483834345,73.97,29.46
33882.648383666,72.76,28.86
33882.6483838974,72.03,28.74
33882.6483841289,71.79,28.26
33882.6483843604,71.79,27.89
33882.6483845919,70.58,27.77
33882.6483848233,70.10,26.93
33882.6483850548,68.89,26.93
33882.6483852863,67.68,26.69
33882.6483855178,66.47,26.45
33882.6483857493,65.75,26.20
33882.6483859807,65.75,26.45
33882.6483862122,68.89,27.53
33882.6483864437,82.42,29.10
33882.6483866752,106.1,30.43
33882.6483869067,129.8,31.51
33882.6483871381,139.5,31.76
33882.6483873696,129.8,31.76
33882.6483876011,111.4,31.76
33882.6483878326,99.34,32.36
33882.6483880641,97.89,33.08
33882.6483882955,105.1,34.41
33882.648388527,116.5,35.50
33882.6483887585,123.3,36.22
33882.64838899,123.5,36.70
33882.6483892214,117.7,36.82
33882.6483894529,107.6,36.82
33882.6483896844,95.96,36.22
33882.6483899159,89.19,36.22
33882.6483901474,87.98,36.82
33882.6483903788,91.12,36.70
33882.6483906103,95.96,36.70
33882.6483908418,99.34,36.82
33882.6483910733,98.61,36.22
33882.6483913048,96.44,36.34
33882.6483915362,92.33,36.22
33882.6483917677,89.19,35.86
33882.6483919992,86.05,35.01
33882.6483922307,84.36,34.41
33882.6483924622,83.63,34.17
33882.6483926936,83.63,33.69
33882.6483929251,83.63,33.32
33882.6483931566,82.66,33.08
33882.6483933881,82.42,33.20
33882.6483936196,81.21,32.84
33882.648393851,80.01,32.84
33882.6483940825,78.32,32.24
33882.648394314,77.59,31.88
33882.6483945455,77.59,31.15
33882.6483947769,76.38,31.03
33882.6483950084,75.90,30.79
33882.6483952399,74.45,30.31
33882.6483954714,73.72,30.31
33882.6483957029,73.24,29.95
33882.6483959343,72.76,29.95
33882.6483961658,71.79,29.22
33882.6483963973,71.79,29.10
33882.6483966288,72.03,28.86
33882.6483968603,70.34,28.74
33882.6483970917,69.86,28.38
33882.6483973232,68.41,27.89
33882.6483975547,66.72,28.01
33882.6483977862,66.23,27.41
33882.6483980176,66.47,28.01
33882.6483982491,73.00,28.98
33882.6483984806,91.36,30.67
33882.6483987121,119.2,32.12
33882.6483989436,139.5,32.72
33882.648399175,140.9,32.84
33882.6483994065,124.2,32.84
33882.648399638,106.3,32.96
33882.6483998695,98.13,33.20
33882.648400101,101.5,34.65
33882.6484003324,112.9,36.10
33882.6484005639,123.5,36.94
33882.6484007954,128.6,37.91
33882.6484010269,125.2,38.15
33882.6484012584,117.0,38.27
33882.6484014898,106.8,37.91
33882.6484017213,96.68,37.31
33882.6484019528,90.16,37.19
33882.6484021843,88.46,37.07
